numero,jogador,selecao
13,Stephen Eustáquio,Canadá
14,Ismael Koné,Canadá
15,Tajon Buchanan,Canadá
16,Mathieu Choinière,Canadá
17,Ali Ahmed,Canadá
18,Nathan Saliba,Canadá
19,Liam Millar,Canadá
20,Jayden Nelson,Canadá
21,Jacob Shaffelburg,Canadá
22,Jonathan Osorio,Canadá
23,Jonathan David,Canadá
24,Cyle Larin,Canadá
25,Tani Oluwaseyi,Canadá
26,Promise David,Canadá
1,Mahmoud Abunada,Catar
2,Meshaal Barsham,Catar
3,Salah Zakaria,Catar
4,Ayoub Al-Alawi,Catar
5,Boualem Khoukhi,Catar
6,Homam Al-Amin,Catar
7,Lucas Mendes,Catar
8,Issa Laye,Catar
9,Pedro Miguel,Catar
10,Al-Hashmi Al-Hussain,Catar
11,Sultan Al-Brake,Catar
12,Assim Madibo,Catar
13,Abdulaziz Hatem,Catar
14,Ahmed Fathy,Catar
15,Karim Boudiaf,Catar
16,Jassem Gaber,Catar
17,Mohamed Mannaj,Catar
18,Ahmed Al-Ganehi,Catar
19,Ahmed Alaa,Catar
20,Akram Afif,Catar
21,AlMoez Ali,Catar
22,Edmilson Junior,Catar
23,Hasan Al-Haydos,Catar
24,Mohammed Muntari,Catar
25,Tahsin Mohammed,Catar
26,Youssef Abdulrazzaq,Catar
1,Camilo Vargas,Colômbia
2,Alvaro Montero,Colômbia
3,David Ospina,Colômbia
4,Davinson Sánchez,Colômbia
5,Jhon Lucumí,Colômbia
6,Yerry Mina,Colômbia
7,Daniel Muñoz,Colômbia
8,Willer Ditta,Colômbia
9,Santiago Arias,Colômbia
10,Johan Mojica,Colômbia
11,Deiver Machado,Colômbia
12,Richard Ríos,Colômbia
13,Jefferson Lerma,Colômbia
14,Kevin Castaño,Colômbia
15,Gustavo Puerta,Colômbia
16,Jhon Arias,Colômbia
17,Jorge Carrascal,Colômbia
18,Juan Portilla,Colômbia
19,Juan Quintero,Colômbia
20,James Rodríguez,Colômbia
21,Jaminton Campaz,Colômbia
22,Cucho Hernández,Colômbia
23,Luis Díaz,Colômbia
24,Luis Suárez,Colômbia
25,Andrés Gómez,Colômbia
26,Jhon Córdoba,Colômbia
1,Kim Seunggyu,Coreia do Sul
2,Song Bumkeun,Coreia do Sul
3,Jo Hyeonwoo,Coreia do Sul
4,Kim Moonhwan,Coreia do Sul
5,Kim Min-jae,Coreia do Sul
6,Kim Taehyeon,Coreia do Sul
7,Park Jinseob,Coreia do Sul
8,Seol Youngwoo,Coreia do Sul
9,Jens Castrop,Coreia do Sul
10,Lee Kihyuk,Coreia do Sul
11,Lee Taeseok,Coreia do Sul
12,Lee Hanbeom,Coreia do Sul
13,Jo Wi-Je,Coreia do Sul
14,Kim Jingyu,Coreia do Sul
15,Bae Junho,Coreia do Sul
16,Paik Seungho,Coreia do Sul
